State,LGA,Zone,livelihood_zone,cropland_pct,travel_time_mean_min,travel_time_p90_min
31. Plateau,3105. JOS NORTH,1. North Central,,,,
31. Plateau,3106. JOS SOUTH,1. North Central,,,,
31. Plateau,3108. KANKE,1. North Central,,,,
31. Plateau,3109. LANTANG NORTH,1. North Central,,,,
31. Plateau,3110. LANTANG SOUTH,1. North Central,,,,
31. Plateau,3111. MANGU,1. North Central,,,,
31. Plateau,3112. MIKANG,1. North Central,,,,
31. Plateau,3113. PANKSHIN,1. North Central,,,,
31. Plateau,3115. RIYOM,1. North Central,,,,
31. Plateau,3116. SHENDAM,1. North Central,,,,
31. Plateau,3117. WASE,1. North Central,,,,
32. Rivers,3201. ABUA-ODUA,5. South South,,,,
32. Rivers,3202. AHOADA EAST,5. South South,,,,
32. Rivers,3203. AHOADA WEST,5. South South,,,,
32. Rivers,3206. ASARI-TORU,5. South South,,,,
32. Rivers,3208. DEGEMA,5. South South,,,,
32. Rivers,3209. ELEME,5. South South,,,,
32. Rivers,3211. ETCHE,5. South South,,,,
32. Rivers,3212. GOKANA,5. South South,,,,
32. Rivers,3213. IKWERRE,5. South South,,,,
32. Rivers,3214. KHANA,5. South South,,,,
32. Rivers,3215. OBIO AKPOR,5. South South,,,,
32. Rivers,3216. OGBA/EGBEMA/NDONI,5. South South,,,,
32. Rivers,3218. OKIRIKA,5. South South,,,,
32. Rivers,3222. PORT HARCOURT,5. South South,,,,
32. Rivers,3223. TAI,5. South South,,,,
33. Sokoto,3301. BINJI,3. North West,,,,
33. Sokoto,3302. BODINGA,3. North West,,,,
33. Sokoto,3303. DANGE SHUNI,3. North West,,,,
33. Sokoto,3304. GADA,3. North West,,,,
